OID_,block_vtda,state,Shape_Length,Shape_Area,ID,OBJECTID,Join_Count,TARGET_FID,ID_1,DISTRICT,POPULATION,sld_u22,Shape_Length_1,Shape_Area_1
1600,35045000080,35,0.041297148309875,0.000096441619000,1599,1600,1,1600,12,2,47318,35002,2.910850179561819,0.224440330284999
1601,35045000081,35,0.068274156159406,0.000194727631000,1600,1601,1,1601,12,2,47318,35002,2.910850179561819,0.224440330284999
1602,35045000090,35,0.121444568027061,0.000492316105000,1601,1602,1,1602,12,2,47318,35002,2.910850179561819,0.224440330284999
1603,35045000100,35,0.170150519238736,0.001633406432500,1602,1603,1,1603,12,2,47318,35002,2.910850179561819,0.224440330284999
1604,35045000101,35,0.115648339935913,0.000358910914500,1603,1604,1,1604,12,2,47318,35002,2.910850179561819,0.224440330284999
1605,35045000102,35,0.187274587116865,0.000772861121000,1604,1605,1,1605,12,2,47318,35002,2.910850179561819,0.224440330284999
1606,35045000103,35,0.109838003802192,0.000312813272500,1605,1606,1,1606,12,2,47318,35002,2.910850179561819,0.224440330284999
1607,35045000104,35,0.052069777399319,0.000120740024000,1606,1607,1,1607,12,2,47318,35002,2.910850179561819,0.224440330284999
1608,35045000105,35,0.095359825796562,0.000362107141000,1607,1608,1,1608,1,1,47068,35001,1.544650114391072,0.043527367594502
1609,35045000106,35,0.041045359378352,0.000061235812000,1608,1609,1,1609,1,1,47068,35001,1.544650114391072,0.043527367594502
1610,35045000107,35,0.075108125284437,0.000175779792000,1609,1610,1,1610,1,1,47068,35001,1.544650114391072,0.043527367594502
1611,35045000108,35,0.545368949976815,0.010661940351500,1610,1611,1,1611,23,3,47240,35003,8.518162176062154,0.751500889506999
1612,35045000109,35,0.110532940659060,0.000652473695000,1611,1612,1,1612,1,1,47068,35001,1.544650114391072,0.043527367594502
1613,35045000110,35,0.104168377732222,0.000509553715000,1612,1613,1,1613,1,1,47068,35001,1.544650114391072,0.043527367594502
1614,35045000120,35,0.391336473617361,0.005320566225499,1613,1614,1,1614,23,3,47240,35003,8.518162176062154,0.751500889506999
1615,35045000121,35,0.112819812077611,0.000445244995500,1614,1615,1,1615,1,1,47068,35001,1.544650114391072,0.043527367594502
1616,35045000130,35,1.499569802614735,0.053897400585500,1615,1616,1,1616,23,3,47240,35003,8.518162176062154,0.751500889506999
1617,35045000131,35,0.783173225056215,0.035191721826501,1616,1617,1,1617,23,3,47240,35003,8.518162176062154,0.751500889506999
1618,35047000001,35,0.035181178502307,0.000060763101500,1617,1618,1,1618,41,8,48310,35008,14.176693575452417,3.951687610210502
1619,35047000002,35,0.038084559992302,0.000066817711000,1618,1619,1,1619,41,8,48310,35008,14.176693575452417,3.951687610210502
1620,35047000003,35,0.082006160506417,0.000193213248000,1619,1620,1,1620,41,8,48310,35008,14.176693575452417,3.951687610210502
1621,35047000004,35,0.098035165427368,0.000505918115000,1620,1621,1,1621,41,8,48310,35008,14.176693575452417,3.951687610210502
1622,35047000005,35,0.066948375571359,0.000221872325500,1621,1622,1,1622,41,8,48310,35008,14.176693575452417,3.951687610210502
1623,35047000006,35,1.158081519772702,0.050628632642500,1622,1623,1,1623,41,8,48310,35008,14.176693575452417,3.951687610210502
1624,35047000007,35,0.616727660077283,0.020992819047500,1623,1624,1,1624,41,8,48310,35008,14.176693575452417,3.951687610210502
1625,35047000008,35,0.037591931492904,0.000077189161000,1624,1625,1,1625,41,8,48310,35008,14.176693575452417,3.951687610210502
1626,35047000009,35,0.565294105898842,0.009056071264500,1625,1626,1,1626,41,8,48310,35008,14.176693575452417,3.951687610210502
1627,35047000010,35,1.481599445291079,0.040619047354000,1626,1627,1,1627,41,8,48310,35008,14.176693575452417,3.951687610210502
1628,35047000011,35,0.277514449598199,0.002018499661000,1627,1628,1,1628,41,8,48310,35008,14.176693575452417,3.951687610210502
1629,35047000012,35,1.016832132456465,0.022804719099500,1628,1629,1,1629,41,8,48310,35008,14.176693575452417,3.951687610210502
1630,35047000013,35,0.384803965176796,0.003490009421000,1629,1630,1,1630,41,8,48310,35008,14.176693575452417,3.951687610210502
1631,35047000014,35,2.574411318886495,0.173745411899499,1630,1631,1,1631,41,8,48310,35008,14.176693575452417,3.951687610210502
1632,35047000015,35,3.095081104478976,0.275114068341499,1631,1632,1,1632,41,8,48310,35008,14.176693575452417,3.951687610210502
1633,35047000016,35,2.734588451186612,0.099636157611001,1632,1633,1,1633,41,8,48310,35008,14.176693575452417,3.951687610210502
1634,35047000017,35,0.758628365715837,0.012472953740501,1633,1634,1,1634,41,8,48310,35008,14.176693575452417,3.951687610210502
1635,35047000018,35,1.309336799324083,0.039371953004998,1634,1635,1,1635,33,39,51471,35039,9.980237611835079,1.272959036852497
1636,35047000019,35,0.935938242448128,0.017790836956000,1635,1636,1,1636,41,8,48310,35008,14.176693575452417,3.951687610210502
1637,35047000020,35,1.241477282512235,0.071475130606998,1636,1637,1,1637,33,39,51471,35039,9.980237611835079,1.272959036852497
1638,35047000021,35,1.189755464177802,0.024398781327500,1637,1638,1,1638,41,8,48310,35008,14.176693575452417,3.951687610210502
1639,35047000022,35,1.134473838483848,0.024549095981499,1638,1639,1,1639,33,39,51471,35039,9.980237611835079,1.272959036852497
1640,35047000023,35,0.229851052403006,0.001321590482000,1639,1640,1,1640,33,39,51471,35039,9.980237611835079,1.272959036852497
