,block_vtda,total,nh_black,weighted_blk_sl_dist
73,51009000501,5802,1282,91463.97404114432
74,51011000101,1076,93,18103.85687128061
75,51011000102,2071,431,36679.526991585386
76,51011000201,824,275,15397.587612281
77,51011000202,2542,250,43340.956513827405
78,51011000301,1463,226,23566.159234887215
79,51011000302,1824,279,28246.89139869583
80,51011000401,3253,712,54442.77577196606
81,51011000501,2202,423,35090.74024293105
82,51011000502,864,188,13744.751227246692
83,51013000001,5958,1275,69136.36769957817
84,51013000002,4717,242,52188.76637004351
85,51013000003,2620,73,32511.44583284397
86,51013000004,4794,222,51300.03869516557
87,51013000005,4557,338,51979.50777090005
88,51013000006,4586,408,56141.570303512315
89,51013000007,4440,124,47072.68421971418
90,51013000008,6093,491,73756.00110040078
91,51013000009,5807,874,68916.90396268773
92,51013000010,7519,548,83919.68685710328
93,51013000011,2838,49,27499.05961264348
94,51013000012,3390,86,42755.440153243595
95,51013000013,3313,329,37022.293938588904
96,51013000014,2957,86,31593.768596328628
97,51013000015,2822,178,31752.99289093881
98,51013000016,4288,146,46315.43669563115
99,51013000017,4408,111,43764.937067623396
100,51013000018,8025,719,88518.56132654198
101,51013000019,6478,328,71852.50545744362
102,51013000020,3780,33,39400.7109149649
103,51013000021,2362,314,28952.173636761036
104,51013000022,3787,261,46879.400904188115
105,51013000023,4141,259,42953.07130922312
106,51013000024,5900,488,61747.59893501696
107,51013000025,3895,209,42658.41638769526
108,51013000026,5895,816,68190.64521390875
109,51013000027,4888,552,56017.449926303256
110,51013000028,7504,1162,87537.21022366178
111,51013000029,3983,64,40949.170110679974
112,51013000030,5038,1432,61555.5298548291
113,51013000031,3993,172,41026.725317129196
114,51013000032,1987,169,24464.146715181792
115,51013000033,4175,64,41472.56316132431
116,51013000034,3671,64,37191.08619519436
117,51013000035,4049,38,40668.44292034095
118,51013000036,4700,264,48835.14790473185
119,51013000037,3558,38,34842.464842241374
120,51013000038,5330,988,62946.18982902447
121,51013000039,2819,87,29904.11542834437
122,51013000040,5650,184,61221.70034652695
123,51013000041,4939,288,54656.206353502486
124,51013000042,3848,498,47802.273957387326
125,51013000043,6468,1140,73716.79493376942
126,51013000044,3578,207,38747.76258714912
127,51013000045,5125,587,56182.51298520515
128,51013000046,5217,185,56273.83321616691
129,51013000047,3512,523,41224.58732732979
130,51013000048,3469,85,38178.106580432126
131,51013000049,3316,191,36117.03037583275
132,51013000050,5562,715,69017.2357009351
133,51013000051,947,19,10164.86307383907
134,51013000052,3908,829,48608.1338774249
135,51013000053,5989,701,72873.66084777989
136,51013000054,2050,77,22794.45112331247
137,51015000101,2089,75,21627.31862957655
138,51015000102,3019,192,31944.84273093542
139,51015000103,5353,273,55246.5537107087
140,51015000201,5082,162,50108.243334596395
141,51015000202,2245,40,22419.00688646939
142,51015000203,3901,62,33654.36057662216
143,51015000301,5512,89,52739.65205852319
144,51015000302,1462,5,13476.872522913416
