geoid,block_vtda,total
350010001273015,35001000534,60
350010001273016,35001000534,20
350010001281000,35001000542,34
350010001281001,35001000542,40
350010001281002,35001000542,104
350010001281003,35001000542,95
350010001281004,35001000542,39
350010001281005,35001000542,68
350010001281006,35001000542,70
350010001281007,35001000542,59
350010001281008,35001000542,0
350010001281009,35001000542,24
350010001281010,35001000542,33
350010001281011,35001000542,46
350010001281012,35001000542,40
350010001281013,35001000542,34
350010001282000,35001000543,67
350010001282001,35001000542,42
350010001282002,35001000542,82
350010001282003,35001000543,67
350010001282004,35001000543,72
350010001282005,35001000543,97
350010001282006,35001000543,62
350010001282007,35001000542,74
350010001282008,35001000542,50
350010001282009,35001000542,39
350010001282010,35001000542,57
350010001282011,35001000542,52
350010001282012,35001000542,53
350010001282013,35001000543,59
350010001282014,35001000543,56
350010001283000,35001000545,31
350010001283001,35001000545,33
350010001283002,35001000545,62
350010001283003,35001000545,55
350010001283004,35001000545,0
350010001283005,35001000545,79
350010001283006,35001000545,28
350010001283007,35001000545,38
350010001283008,35001000545,66
350010001283009,35001000545,57
350010001283010,35001000545,25
350010001283011,35001000544,51
350010001283012,35001000544,82
350010001283013,35001000544,78
350010001284000,35001000544,67
350010001284001,35001000544,59
350010001284002,35001000544,58
350010001284003,35001000544,58
350010001284004,35001000544,45
350010001284005,35001000544,117
350010001284006,35001000543,26
350010001284007,35001000543,79
350010001284008,35001000543,94
350010001284009,35001000543,33
350010001284010,35001000543,48
350010001284011,35001000543,27
350010001284012,35001000543,30
350010001284013,35001000543,74
350010001291000,35001000305,0
350010001291001,35001000305,22
350010001291002,35001000305,856
350010001291003,35001000305,678
350010001291004,35001000305,24
350010001291005,35001000305,66
350010001291006,35001000305,31
350010001292000,35001000545,106
350010001292001,35001000545,37
350010001292002,35001000545,58
350010001292003,35001000545,76
350010001292004,35001000545,60
350010001292005,35001000545,42
350010001292006,35001000545,61
350010001292007,35001000545,47
350010001292008,35001000545,66
350010001292009,35001000545,60
350010001292010,35001000545,124
350010001292011,35001000544,91
350010001292012,35001000545,48
350010001292013,35001000544,379
350010001292014,35001000544,75
