,block_vtda,DISTRICT
1290,35035000046,34
1291,35035000047,34
1292,35035000048,34
1293,35035000049,34
1294,35035000050,34
1295,35035000051,33
1296,35035000052,33
1297,35035000053,33
1298,35035000054,33
1299,35035000055,34
1300,35035000056,33
1301,35035000057,34
1302,35035000058,34
1303,35035000059,34
1304,35037000001,7
1305,35037000002,7
1306,35037000003,7
1307,35037000004,7
1308,35037000005,8
1309,35037000006,7
1310,35037000007,7
1311,35037000008,7
1312,35037000009,7
1313,35037000010,7
1314,35037000011,7
1315,35037000012,8
1316,35039000001,5
1317,35039000002,5
1318,35039000003,5
1319,35039000004,5
1320,35039000005,5
1321,35039000006,6
1322,35039000007,5
1323,35039000008,5
1324,35039000009,5
1325,35039000010,5
1326,35039000011,5
1327,35039000012,5
1328,35039000013,6
1329,35039000014,6
1330,35039000015,6
1331,35039000016,6
1332,35039000017,6
1333,35039000018,5
1334,35039000019,5
1335,35039000020,22
1336,35039000021,22
1337,35039000022,5
1338,35039000023,5
1339,35039000024,22
1340,35039000025,22
1341,35039000026,22
1342,35039000027,22
1343,35039000028,5
1344,35039000029,22
1345,35039000030,22
1346,35039000031,5
1347,35039000032,5
1348,35039000033,5
1349,35039000034,5
1350,35039000035,5
1351,35039000036,5
1352,35039000037,5
1353,35039000038,5
1354,35039000039,5
1355,35039000040,5
1356,35039000041,5
1357,35039000042,5
1358,35039000043,5
1359,35039000044,5
1360,35039000045,22
1361,35039000046,5
1362,35041000001,27
1363,35041000002,27
1364,35041000003,27
1365,35041000004,27
1366,35041000005,27
1367,35041000006,27
1368,35041000007,27
1369,35041000008,27
1370,35041000009,27
1371,35041000010,27
1372,35041000011,27
1373,35041000012,27
1374,35041000013,27
1375,35041000014,27
1376,35041000015,27
1377,35041000016,27
1378,35041000017,27
1379,35041000018,27
1380,35041000019,27
1381,35043000001,9
1382,35043000002,9
1383,35043000003,9
1384,35043000004,9
1385,35043000005,9
1386,35043000006,9
1387,35043000007,22
1388,35043000008,22
1389,35043000009,22
1390,35043000010,22
1391,35043000011,9
1392,35043000012,9
1393,35043000013,9
1394,35043000014,22
1395,35043000015,22
1396,35043000016,22
1397,35043000017,22
1398,35043000018,22
1399,35043000019,22
1400,35043000020,22
1401,35043000021,22
1402,35043000022,22
1403,35043000023,22
1404,35043000024,22
1405,35043000025,22
1406,35043000026,22
1407,35043000027,22
1408,35043000028,19
1409,35043000029,9
1410,35043000030,12
1411,35043000031,12
1412,35043000032,12
1413,35043000033,9
1414,35043000034,40
1415,35043000035,9
1416,35043000036,9
1417,35043000037,40
1418,35043000038,9
1419,35043000039,40
1420,35043000040,12
1421,35043000041,12
1422,35043000042,12
1423,35043000043,12
1424,35043000044,12
1425,35043000045,12
1426,35043000046,12
1427,35043000047,40
1428,35043000048,12
1429,35043000049,12
1430,35043000050,40
1431,35043000051,5
1432,35043000052,9
1433,35043000053,9
1434,35043000054,9
1435,35043000055,9
1436,35043000056,9
1437,35043000057,9
1438,35043000058,40
1439,35043000059,9
1440,35043000060,40
1441,35043000061,40
1442,35043000062,12
1443,35043000063,40
1444,35043000064,9
1445,35043000065,22
