,block_vtda,total,nh_black,weighted_blk_sl_dist
2052,220710014-5,672,53,24469.032706993552
2053,220710014-6,757,5,27674.820759200324
2054,220710014-7,782,7,28671.591122600727
2055,220710014-8,664,3,24101.13206405087
2056,220710014-9,745,2,27145.918161131074
2057,220710015-1,595,50,23911.330625136823
2058,220710015-2,1409,313,56754.69987018013
2059,220710015-3,731,122,29440.99565443416
2060,220710015-5,671,465,26881.194332835094
2061,220710015-6,1055,733,42541.59627644618
2062,220710015-8,644,529,25901.340671145394
2063,220710015-9,892,701,35945.65822466524
2064,220710016-1,556,100,20039.022531766517
2065,220710016-2,1002,47,36324.40856043018
2066,220710016-3,914,73,33244.88669517403
2067,220710016-4,927,145,33855.58532905608
2068,220710016-5,800,74,29375.45078946328
2069,220710016-6,1048,233,38748.04509308486
2070,220710016-7,814,75,30340.62646341411
2071,220710016-8,677,60,25422.182863640544
2072,220710016-9,967,463,36590.68960466128
2073,220710017-1,631,74,22899.59308936273
2074,220710017-2,531,141,19309.734440948458
2075,220710017-3,758,366,27592.302982803245
2076,220710017-4,528,194,19315.969900169068
2077,220710017-5,841,226,30919.367041741658
2078,220710017-6,1184,777,43297.79099674653
2079,220710017-7,898,299,33263.684018459906
2080,220710017-8,861,512,32169.919574772164
2081,220710017-9,902,747,33557.799973207875
2082,22071003-12,2171,704,83723.84786087235
2083,22071003-14,557,77,21485.976660297074
2084,22071003-15,791,263,30422.657357728465
2085,22071003-18,1731,701,66611.24662131196
2086,22071003-19,1274,202,49113.815943822934
2087,22071003-20,663,102,25482.56301288424
2088,22071004-11,1022,39,39142.007317860276
2089,22071004-14,1839,34,71162.5516962868
2090,22071004-15,1778,76,68294.51651440974
2091,22071004-17,1430,36,55138.99032280754
2092,22071004-18,1596,40,61625.74222053309
2093,22071004-20,1064,28,40948.50288716138
2094,22071004-21,1122,45,43312.11488386837
2095,22071004-22,986,45,38016.657769790414
2096,22071004-23,819,8,31520.645118360146
2097,22071005-10,564,198,22025.141775643006
2098,22071005-11,600,122,23421.99453572641
2099,22071005-12,941,113,36618.35778824305
2100,22071005-13,657,20,25630.513341864487
2101,22071005-15,1285,76,49895.258252024614
2102,22071005-16,579,55,22485.44616770347
2103,22071005-17,710,2,27380.838755039724
2104,22071005-18,1215,15,46839.65692736194
2105,22071007-10,695,543,27414.467034670255
2106,22071007-11,962,665,37954.8499966428
2107,22071007-12,857,290,33700.01229617674
2108,22071007-13,718,441,28299.75333366166
2109,22071007-14,868,565,34220.85015447
2110,22071007-15,875,458,34442.89827557698
2111,22071007-16,728,425,28671.833006763605
2112,22071007-17,777,114,30530.53616008525
2113,22071007-18,1237,513,48587.401592658185
2114,22071007-19,1184,818,46487.1533264164
2115,22071007-20,1662,1412,65505.31965389027
2116,22071007-21,922,713,36273.30015435998
2117,22071007-23,1904,1666,74835.0529891545
2118,22071007-24,1060,930,41594.86810089138
2119,22071007-25,869,700,33933.92223099344
2120,22071007-26,1161,952,45565.3628156974
2121,22071007-27,924,873,36122.08966387307
2122,22071007-28,822,602,32198.23245759447
2123,22071007-29,593,448,23170.796599488116
